År;Mått;Region;Kön;Ålder;Antibiotika;J01CA04 Amoxicillin;J01CA08 Pivmecillinam;J01CE02 Fenoximetylpenicillin;J01CR02 Amoxicillin och betalaktamashämmare;J01DB Cefalosporiner, första generationen;J01DC Cefalosporiner, andra generationen;J01DD Cefalosporiner, tredje generationen;J01EA01 Trimetoprim;J01FA Makrolider;J01MA02 Ciprofloxacin;J01MA06 Norfloxacin;J01XE01 Nitrofurantoin
2017;Recept/1000 invånare;Riket;Båda könen;0­4;338,14;43,31;0,15;203,02;14,09;1,97;0,00;0,78;8,27;13,46;1,03;0,00;7,50
2017;Recept/1000 invånare;Riket;Båda könen;5­9;257,62;16,95;6,23;153,92;7,91;2,98;0,00;0,59;5,08;10,03;0,97;0,00;8,12
2017;Recept/1000 invånare;Riket;Båda könen;10­14;150,43;6,33;5,68;76,69;4,28;3,08;0,01;0,26;1,13;7,74;1,67;0,01;4,17
2017;Recept/1000 invånare;Riket;Båda könen;15­19;248,93;6,18;24,26;79,30;3,83;3,95;0,01;0,22;1,21;10,57;6,51;0,02;15,89
2017;Recept/1000 invånare;Riket;Båda könen;20­24;226,76;5,43;29,66;67,10;3,33;4,61;0,00;0,15;1,24;9,91;9,02;0,03;19,83
2017;Recept/1000 invånare;Riket;Båda könen;25­29;226,90;6,23;30,03;69,66;4,35;5,86;0,00;0,20;1,42;8,13;9,75;0,04;20,15
2017;Recept/1000 invånare;Riket;Båda könen;30­34;238,49;8,00;28,72;81,15;5,45;6,11;0,00;0,19;1,43;7,84;10,62;0,04;19,22
2017;Recept/1000 invånare;Riket;Båda könen;35­39;245,64;9,47;25,95;85,63;5,34;5,79;0,00;0,14;1,37;8,25;11,71;0,03;18,54
2017;Recept/1000 invånare;Riket;Båda könen;40­44;237,25;9,70;24,01;75,51;5,17;4,42;0,00;0,12;1,83;7,94;13,28;0,05;18,52
2017;Recept/1000 invånare;Riket;Båda könen;45­49;241,59;10,87;25,46;68,41;5,41;3,75;0,00;0,08;2,23;7,43;15,94;0,09;20,18
2017;Recept/1000 invånare;Riket;Båda könen;50­54;273,22;13,01;28,79;72,82;5,98;4,13;0,01;0,11;2,76;7,24;20,40;0,17;23,01
2017;Recept/1000 invånare;Riket;Båda könen;55­59;305,55;16,93;32,84;79,14;7,00;4,42;0,00;0,17;3,38;8,15;24,96;0,20;25,11
2017;Recept/1000 invånare;Riket;Båda könen;60­64;351,48;22,00;37,66;84,24;7,97;5,04;0,00;0,18;4,76;9,03;31,54;0,30;29,66
2017;Recept/1000 invånare;Riket;Båda könen;65­69;381,85;25,29;43,61;82,86;8,53;5,71;0,00;0,20;5,94;9,25;38,97;0,37;34,57
2017;Recept/1000 invånare;Riket;Båda könen;70­74;456,31;31,83;57,97;85,84;10,08;7,31;0,00;0,24;9,12;8,81;49,30;0,34;46,47
2017;Recept/1000 invånare;Riket;Båda könen;75­79;539,79;36,93;82,20;82,46;11,50;9,62;0,01;0,20;13,55;8,91;61,49;0,31;62,20
2017;Recept/1000 invånare;Riket;Båda könen;80­84;586,46;38,63;100,49;76,14;10,47;11,36;0,02;0,22;18,78;7,34;64,55;0,29;78,10
2017;Recept/1000 invånare;Riket;Båda könen;85+;678,55;36,42;124,94;72,49;9,78;14,99;0,01;0,53;37,49;5,90;67,17;0,20;102,05
2017;Recept/1000 invånare;Riket;Båda könen;0­85+;303,53;17,00;32,96;89,36;6,87;5,23;0,00;0,25;4,95;8,76;20,17;0,12;25,59
2017;Recept/1000 invånare;Stockholms län;Båda könen;0­4;392,55;63,24;0,05;227,53;18,06;1,51;0,00;1,00;8,63;14,10;1,50;0,00;8,10
2017;Recept/1000 invånare;Stockholms län;Båda könen;5­9;291,71;22,78;4,87;176,17;10,72;2,22;0,00;0,71;5,67;10,31;1,20;0,00;9,10
2017;Recept/1000 invånare;Stockholms län;Båda könen;10­14;166,20;7,83;5,70;86,85;5,75;2,73;0,05;0,24;1,53;6,85;1,80;0,02;4,24
2017;Recept/1000 invånare;Stockholms län;Båda könen;15­19;264,68;7,40;24,01;86,68;4,94;3,34;0,00;0,23;1,49;12,84;6,33;0,02;12,82
2017;Recept/1000 invånare;Stockholms län;Båda könen;20­24;244,84;6,35;32,25;74,88;4,16;3,66;0,01;0,25;1,15;12,66;9,02;0,04;19,26
2017;Recept/1000 invånare;Stockholms län;Båda könen;25­29;241,16;6,28;33,18;75,97;5,78;3,56;0,01;0,33;1,40;9,01;9,56;0,07;20,94
2017;Recept/1000 invånare;Stockholms län;Båda könen;30­34;251,79;8,41;32,07;87,43;8,23;4,00;0,00;0,25;1,59;8,54;10,18;0,08;18,78
2017;Recept/1000 invånare;Stockholms län;Båda könen;35­39;272,40;11,15;29,55;98,70;7,78;4,37;0,00;0,15;1,60;9,05;11,67;0,04;18,36
2017;Recept/1000 invånare;Stockholms län;Båda könen;40­44;263,86;11,86;27,43;90,20;7,08;3,52;0,00;0,14;1,74;9,05;12,87;0,04;18,27
2017;Recept/1000 invånare;Stockholms län;Båda könen;45­49;277,66;13,92;30,16;83,24;6,67;3,22;0,00;0,10;2,51;8,76;15,98;0,16;21,59
2017;Recept/1000 invånare;Stockholms län;Båda könen;50­54;305,50;15,70;32,12;88,46;7,18;2,97;0,04;0,19;3,24;8,67;20,02;0,29;22,33
2017;Recept/1000 invånare;Stockholms län;Båda könen;55­59;351,18;21,53;37,34;99,30;8,76;3,52;0,00;0,32;3,73;9,78;25,78;0,30;24,17
2017;Recept/1000 invånare;Stockholms län;Båda könen;60­64;402,62;29,51;41,06;103,85;10,09;3,71;0,00;0,36;4,20;11,09;32,91;0,55;28,32
2017;Recept/1000 invånare;Stockholms län;Båda könen;65­69;437,91;33,36;47,92;104,12;11,28;4,80;0,01;0,49;6,53;11,70;39,15;0,52;32,91
2017;Recept/1000 invånare;Stockholms län;Båda könen;70­74;514,61;41,84;61,89;108,85;12,98;5,42;0,00;0,34;9,72;11,64;48,26;0,54;43,14
2017;Recept/1000 invånare;Stockholms län;Båda könen;75­79;599,75;46,88;86,89;102,94;14,52;7,42;0,03;0,25;13,65;12,55;61,88;0,58;59,24
2017;Recept/1000 invånare;Stockholms län;Båda könen;80­84;634,21;46,69;103,58;89,29;13,51;8,02;0,00;0,48;22,18;9,18;62,39;0,46;71,83
2017;Recept/1000 invånare;Stockholms län;Båda könen;85+;707,23;43,11;127,27;69,34;10,47;10,19;0,00;0,64;44,74;7,54;66,74;0,53;92,14
2017;Recept/1000 invånare;Stockholms län;Båda könen;0­85+;325,05;20,76;33,29;104,64;8,78;3,78;0,01;0,34;4,87;10,11;18,20;0,18;22,97
2017;Recept/1000 invånare;Uppsala län;Båda könen;0­4;323,63;42,63;0,23;193,12;14,50;2,34;0,00;0,69;5,28;12,07;0,50;0,00;6,47
2017;Recept/1000 invånare;Uppsala län;Båda könen;5­9;244,13;16,41;5,93;136,40;8,32;3,35;0,00;0,55;4,64;7,26;1,10;0,00;6,53
2017;Recept/1000 invånare;Uppsala län;Båda könen;10­14;144,62;5,75;6,49;70,25;4,18;4,52;0,05;0,29;0,69;7,37;1,77;0,00;3,29
2017;Recept/1000 invånare;Uppsala län;Båda könen;15­19;234,52;4,83;22,43;73,17;4,41;6,36;0,00;0,79;0,42;6,78;5,41;0,00;14,50
2017;Recept/1000 invånare;Uppsala län;Båda könen;20­24;210,79;5,03;27,41;60,53;3,19;3,65;0,00;0,07;0,74;9,63;9,28;0,00;19,34
2017;Recept/1000 invånare;Uppsala län;Båda könen;25­29;213,83;7,54;27,71;62,28;3,87;3,67;0,03;0,27;0,99;8,15;10,65;0,03;17,40
2017;Recept/1000 invånare;Uppsala län;Båda könen;30­34;225,92;10,17;28,37;75,24;3,95;4,12;0,00;0,29;1,09;6,98;9,12;0,00;16,98
2017;Recept/1000 invånare;Uppsala län;Båda könen;35­39;226,17;8,61;22,54;81,89;6,11;4,68;0,00;0,51;1,06;6,57;12,31;0,05;15,65
2017;Recept/1000 invånare;Uppsala län;Båda könen;40­44;241,59;10,42;23,57;75,05;5,64;3,78;0,00;0,00;1,00;6,68;13,11;0,00;20,36
2017;Recept/1000 invånare;Uppsala län;Båda könen;45­49;238,42;12,86;27,97;61,73;6,10;3,42;0,00;0,22;1,67;5,53;17,04;0,09;20,50
2017;Recept/1000 invånare;Uppsala län;Båda könen;50­54;274,32;12,54;29,50;70,11;6,85;3,77;0,00;0,00;1,52;7,25;21,13;0,13;22,04
2017;Recept/1000 invånare;Uppsala län;Båda könen;55­59;309,86;16,34;32,82;77,17;8,39;4,12;0,00;0,00;3,87;6,95;25,62;0,40;24,63
2017;Recept/1000 invånare;Uppsala län;Båda könen;60­64;351,66;21,29;35,15;83,64;9,30;3,94;0,00;0,15;4,15;6,07;35,85;0,35;27,51
2017;Recept/1000 invånare;Uppsala län;Båda könen;65­69;383,87;27,30;40,25;83,09;9,43;4,54;0,00;0,05;6,40;7,47;37,02;0,29;35,85
2017;Recept/1000 invånare;Uppsala län;Båda könen;70­74;467,90;30,22;51,26;84,24;10,50;6,20;0,00;1,22;7,26;8,80;52,64;0,80;41,30
2017;Recept/1000 invånare;Uppsala län;Båda könen;75­79;576,59;36,29;83,44;88,44;12,33;7,84;0,00;0,95;14,14;8,28;64,39;0,60;62,32
2017;Recept/1000 invånare;Uppsala län;Båda könen;80­84;581,01;40,28;94,55;73,70;12,56;11,66;0,00;0,26;20,20;5,05;60,23;0,26;72,14
2017;Recept/1000 invånare;Uppsala län;Båda könen;85+;716,80;40,20;115,58;69,03;11,61;15,15;0,00;1,59;35,68;5,99;68,17;0,12;87,84
2017;Recept/1000 invånare;Uppsala län;Båda könen;0­85+;294,62;16,73;30,69;84,38;7,20;4,63;0,01;0,37;4,08;7,55;19,79;0,15;23,29
2017;Recept/1000 invånare;Södermanlands län;Båda könen;0­4;331,86;43,58;0,00;194,63;21,55;1,59;0,00;1,59;5,55;15,77;0,77;0,00;8,09
2017;Recept/1000 invånare;Södermanlands län;Båda könen;5­9;223,43;13,79;7,33;132,40;9,17;2,54;0,00;0,29;5,65;6,52;0,75;0,00;6,52
2017;Recept/1000 invånare;Södermanlands län;Båda könen;10­14;132,64;6,51;6,22;67,69;4,01;2,38;0,00;0,06;1,05;7,44;0,99;0,00;3,02
2017;Recept/1000 invånare;Södermanlands län;Båda könen;15­19;237,77;5,29;27,27;75,52;3,55;3,05;0,00;0,12;1,31;5,91;6,54;0,00;14,57
2017;Recept/1000 invånare;Södermanlands län;Båda könen;20­24;231,58;5,52;32,01;69,12;3,78;4,38;0,00;0,06;0,84;7,97;7,91;0,00;16,55
2017;Recept/1000 invånare;Södermanlands län;Båda könen;25­29;237,67;6,88;34,06;71,50;5,36;6,03;0,00;0,00;1,24;9,30;8,80;0,00;15,56
2017;Recept/1000 invånare;Södermanlands län;Båda könen;30­34;239,06;9,08;30,61;81,00;7,39;4,01;0,00;0,00;1,38;6,20;10,83;0,00;17,72
2017;Recept/1000 invånare;Södermanlands län;Båda könen;35­39;251,19;8,31;33,57;77,52;7,56;5,19;0,00;0,00;2,00;5,81;14,82;0,00;19,94
2017;Recept/1000 invånare;Södermanlands län;Båda könen;40­44;237,21;9,43;27,67;69,86;6,40;3,37;0,00;0,00;4,69;6,23;13,78;0,34;21,10
2017;Recept/1000 invånare;Södermanlands län;Båda könen;45­49;237,22;9,63;25,79;68,12;6,22;2,92;0,00;0,32;3,88;3,99;15,21;0,00;18,72
2017;Recept/1000 invånare;Södermanlands län;Båda könen;50­54;269,81;11,04;28,03;74,36;7,93;3,01;0,00;0,16;4,61;5,34;19,69;0,26;20,42
2017;Recept/1000 invånare;Södermanlands län;Båda könen;55­59;289,15;14,06;33,49;76,43;7,41;2,86;0,00;0,00;4,03;4,78;24,68;0,06;22,29
2017;Recept/1000 invånare;Södermanlands län;Båda könen;60­64;343,10;19,85;38,89;81,10;9,28;2,98;0,00;0,35;6,19;6,66;30,83;0,00;28,79
2017;Recept/1000 invånare;Södermanlands län;Båda könen;65­69;350,41;19,26;43,16;77,41;9,02;3,68;0,00;0,53;6,51;4,75;35,58;0,43;35,00
2017;Recept/1000 invånare;Södermanlands län;Båda könen;70­74;416,80;25,34;57,78;78,93;9,47;5,29;0,00;0,17;8,10;4,19;47,26;0,28;40,54
2017;Recept/1000 invånare;Södermanlands län;Båda könen;75­79;517,73;31,04;81,55;81,55;11,16;5,71;0,00;0,35;15,39;6,49;61,14;0,17;55,95
2017;Recept/1000 invånare;Södermanlands län;Båda könen;80­84;530,71;34,59;93,35;70,46;10,05;7,38;0,00;0,00;15,77;2,67;62,19;0,13;65,88
2017;Recept/1000 invånare;Södermanlands län;Båda könen;85+;604,25;26,89;105,82;67,04;8,76;10,63;0,00;0,75;28,27;1,50;63,41;0,00;94,43
2017;Recept/1000 invånare;Södermanlands län;Båda könen;0­85+;296,02;15,53;34,60;84,96;8,10;3,94;0,00;0,26;5,34;6,42;20,59;0,10;24,27
2017;Recept/1000 invånare;Östergötlands län;Båda könen;0­4;329,83;32,54;0,11;199,97;15,52;1,57;0,00;0,71;12,54;12,39;0,71;0,00;9,03
2017;Recept/1000 invånare;Östergötlands län;Båda könen;5­9;243,97;13,31;4,74;139,55;12,97;3,11;0,00;0,49;6,64;9,48;0,57;0,00;8,61
2017;Recept/1000 invånare;Östergötlands län;Båda könen;10­14;141,23;5,47;5,63;70,24;4,05;3,81;0,00;0,48;1,35;7,18;1,15;0,00;5,47
2017;Recept/1000 invånare;Östergötlands län;Båda könen;15­19;224,69;4,03;20,88;71,36;5,06;5,51;0,00;0,04;0,62;9,29;6,29;0,00;20,76
2017;Recept/1000 invånare;Östergötlands län;Båda könen;20­24;210,47;3,76;25,72;57,30;4,37;5,61;0,00;0,00;0,85;9,92;8,74;0,03;24,24
2017;Recept/1000 invånare;Östergötlands län;Båda könen;25­29;215,55;3,99;27,37;65,14;6,11;7,27;0,00;0,03;1,14;7,95;9,76;0,06;25,01
2017;Recept/1000 invånare;Östergötlands län;Båda könen;30­34;236,25;5,28;25,24;78,10;7,25;7,40;0,00;0,11;1,94;9,16;10,81;0,00;25,17
2017;Recept/1000 invånare;Östergötlands län;Båda könen;35­39;237,78;7,88;23,53;76,13;7,16;6,49;0,00;0,08;1,28;7,81;13,20;0,00;25,60
2017;Recept/1000 invånare;Östergötlands län;Båda könen;40­44;220,12;6,38;21,87;64,65;7,55;5,03;0,00;0,04;2,73;8,15;12,94;0,04;22,58
2017;Recept/1000 invånare;Östergötlands län;Båda könen;45­49;234,52;7,00;22,24;63,80;8,59;5,10;0,00;0,10;1,86;9,10;17,31;0,00;24,66
2017;Recept/1000 invånare;Östergötlands län;Båda könen;50­54;264,91;9,18;26,89;67,42;11,00;5,94;0,00;0,20;2,40;7,09;20,55;0,07;29,52
2017;Recept/1000 invånare;Östergötlands län;Båda könen;55­59;295,14;11,87;29,74;74,85;12,10;7,92;0,00;0,23;2,96;8,91;24,05;0,08;31,62
2017;Recept/1000 invånare;Östergötlands län;Båda könen;60­64;341,40;14,62;37,23;79,46;16,60;9,94;0,00;0,75;4,83;9,03;27,41;0,32;39,17
2017;Recept/1000 invånare;Östergötlands län;Båda könen;65­69;381,28;19,39;42,08;82,19;17,94;12,05;0,00;0,15;4,79;10,23;38,74;0,19;42,35
2017;Recept/1000 invånare;Östergötlands län;Båda könen;70­74;453,37;25,50;56,82;79,46;20,98;18,08;0,00;0,16;6,01;9,68;46,37;0,08;63,84
2017;Recept/1000 invånare;Östergötlands län;Båda könen;75­79;551,87;31,60;85,24;76,53;28,35;20,12;0,00;0,12;11,95;8,11;63,31;0,42;73,71
2017;Recept/1000 invånare;Östergötlands län;Båda könen;80­84;598,34;35,00;101,88;76,74;26,27;25,84;0,00;0,26;14,43;6,14;65,42;0,26;91,86
2017;Recept/1000 invånare;Östergötlands län;Båda könen;85+;766,30;32,92;140,01;79,64;24,27;33,08;0,00;0,71;37,68;4,60;77,50;0,40;144,93
2017;Recept/1000 invånare;Östergötlands län;Båda könen;0­85+;299,07;13,02;32,03;83,24;11,75;8,60;0,00;0,24;4,93;8,78;20,39;0,08;33,05
2017;Recept/1000 invånare;Jönköpings län;Båda könen;0­4;314,30;27,78;0,14;199,63;11,73;2,82;0,00;1,22;8,54;13,51;1,08;0,00;5,72
2017;Recept/1000 invånare;Jönköpings län;Båda könen;5­9;250,33;12,00;5,40;153,80;6,55;3,23;0,00;0,65;6,78;8,54;0,83;0,00;8,26
2017;Recept/1000 invånare;Jönköpings län;Båda könen;10­14;145,59;4,47;4,38;75,10;2,79;3,61;0,00;0,48;1,68;7,26;1,83;0,00;5,34
2017;Recept/1000 invånare;Jönköpings län;Båda könen;15­19;220,15;4,48;27,11;73,03;3,22;4,78;0,00;0,00;1,16;8,85;5,63;0,00;14,03
2017;Recept/1000 invånare;Jönköpings län;Båda könen;20­24;208,82;4,90;29,82;59,51;3,47;5,72;0,00;0,35;0,69;7,54;8,84;0,00;17,34
2017;Recept/1000 invånare;Jönköpings län;Båda könen;25­29;207,74;4,95;27,29;67,25;4,74;8,84;0,00;0,04;1,20;6,66;8,20;0,00;15,20
2017;Recept/1000 invånare;Jönköpings län;Båda könen;30­34;229,04;7,14;27,02;84,28;4,31;7,67;0,05;0,00;1,15;7,67;11,31;0,00;16,15
2017;Recept/1000 invånare;Jönköpings län;Båda könen;35­39;216,96;9,23;22,96;82,65;4,64;7,74;0,00;0,00;0,80;6,69;11,53;0,00;13,38
2017;Recept/1000 invånare;Jönköpings län;Båda könen;40­44;214,53;10,10;22,33;66,12;4,68;7,00;0,00;0,09;1,30;8,66;14,27;0,09;16,59
2017;Recept/1000 invånare;Jönköpings län;Båda könen;45­49;215,33;11,08;25,37;63,18;5,35;5,13;0,00;0,00;2,31;8,64;16,17;0,04;15,27
2017;Recept/1000 invånare;Jönköpings län;Båda könen;50­54;247,08;11,71;30,31;65,54;6,16;6,55;0,00;0,09;3,23;5,77;22,35;0,04;18,77
2017;Recept/1000 invånare;Jönköpings län;Båda könen;55­59;273,96;18,37;32,10;71,67;6,35;6,64;0,00;0,00;2,49;6,30;22,96;0,05;22,23
2017;Recept/1000 invånare;Jönköpings län;Båda könen;60­64;313,00;22,04;38,66;82,74;9,06;7,61;0,00;0,10;4,58;7,96;28,71;0,45;25,03
2017;Recept/1000 invånare;Jönköpings län;Båda könen;65­69;369,79;30,64;47,50;83,45;9,74;9,30;0,00;0,24;6,24;8,87;36,00;0,54;33,42
2017;Recept/1000 invånare;Jönköpings län;Båda könen;70­74;430,70;36,38;61,28;81,48;11,28;12,32;0,00;0,26;12,01;8,35;45,15;0,31;41,76
2017;Recept/1000 invånare;Jönköpings län;Båda könen;75­79;509,99;43,53;82,57;89,36;14,10;12,43;0,00;0,00;11,21;6,56;56,19;0,08;55,43
2017;Recept/1000 invånare;Jönköpings län;Båda könen;80­84;565,92;47,06;95,47;81,74;14,57;21,27;0,00;0,21;15,30;7,23;57,33;0,00;71,16
2017;Recept/1000 invånare;Jönköpings län;Båda könen;85+;656,93;44,15;125,83;81,68;15,50;24,96;0,00;0,57;34,79;5,67;58,80;0,28;91,98
2017;Recept/1000 invånare;Jönköpings län;Båda könen;0­85+;284,97;16,95;33,42;86,78;7,01;7,72;0,00;0,24;5,07;7,92;19,32;0,10;22,75
2017;Recept/1000 invånare;Kronobergs län;Båda könen;0­4;368,83;50,24;0,00;219,58;18,46;1,55;0,00;0,26;5,50;8,76;1,20;0,00;8,50
2017;Recept/1000 invånare;Kronobergs län;Båda könen;5­9;266,38;17,89;6,64;157,42;7,75;4,34;0,00;0,43;2,73;6,56;0,60;0,00;6,81
2017;Recept/1000 invånare;Kronobergs län;Båda könen;10­14;158,04;7,88;5,69;83,84;5,17;4,64;0,00;0,00;0,26;6,22;1,93;0,00;3,33
2017;Recept/1000 invånare;Kronobergs län;Båda könen;15­19;273,43;6,12;27,09;87,21;3,53;4,64;0,00;0,00;0,46;17,54;8,26;0,00;12,80
2017;Recept/1000 invånare;Kronobergs län;Båda könen;20­24;221,19;4,07;31,83;66,81;2,31;3,69;0,00;0,00;1,00;10,53;10,53;0,00;16,38
2017;Recept/1000 invånare;Kronobergs län;Båda könen;25­29;230,59;6,73;32,46;75,81;3,25;9,15;0,00;0,00;0,91;6,96;11,95;0,00;15,66
2017;Recept/1000 invånare;Kronobergs län;Båda könen;30­34;241,79;7,95;33,02;81,15;2,88;9,43;0,00;0,09;0,35;7,95;12,84;0,00;14,24
2017;Recept/1000 invånare;Kronobergs län;Båda könen;35­39;241,10;11,17;25,91;84,87;3,05;6,37;0,00;0,09;0,79;6,98;14,57;0,00;13,78
2017;Recept/1000 invånare;Kronobergs län;Båda könen;40­44;238,46;9,77;24,69;76,93;3,37;4,47;0,00;0,17;1,10;6,83;16,68;0,00;14,66
2017;Recept/1000 invånare;Kronobergs län;Båda könen;45­49;230,11;8,96;24,69;66,32;2,90;4,11;0,00;0,00;1,21;4,60;20,74;0,00;16,38
2017;Recept/1000 invånare;Kronobergs län;Båda könen;50­54;279,89;11,92;33,66;71,78;3,65;6,57;0,00;0,16;1,38;5,43;25,47;0,00;19,79
2017;Recept/1000 invånare;Kronobergs län;Båda könen;55­59;316,53;16,53;33,24;79,50;5,36;3,97;0,00;0,46;1,75;7,20;29,64;0,00;23,36
2017;Recept/1000 invånare;Kronobergs län;Båda könen;60­64;339,83;20,72;42,41;83,05;5,67;3,98;0,00;0,00;3,01;7,61;35,59;0,00;24,70
2017;Recept/1000 invånare;Kronobergs län;Båda könen;65­69;384,29;21,73;40,70;90,51;2,92;5,75;0,00;0,69;4,12;6,87;52,81;0,00;30,23
2017;Recept/1000 invånare;Kronobergs län;Båda könen;70­74;458,56;25,55;62,16;86,97;4,83;6,41;0,00;0,74;3,35;6,97;59,75;0,00;44,04
2017;Recept/1000 invånare;Kronobergs län;Båda könen;75­79;530,86;31,13;79,40;85,16;4,39;10,70;0,00;0,82;5,07;9,46;82,83;0,00;57,87
2017;Recept/1000 invånare;Kronobergs län;Båda könen;80­84;562,74;38,83;86,65;75,47;3,66;11,54;0,00;0,18;6,05;6,23;83,53;0,37;63,20
2017;Recept/1000 invånare;Kronobergs län;Båda könen;85+;539,40;32,45;80,30;53,81;4,14;8,11;0,00;1,99;21,19;10,10;78,15;0,17;70,70
2017;Recept/1000 invånare;Kronobergs län;Båda könen;0­85+;306,43;16,76;33,33;91,67;4,88;5,76;0,00;0,28;2,68;7,85;25,81;0,02;21,93
2017;Recept/1000 invånare;Kalmar län;Båda könen;0­4;289,03;33,32;0,00;172,47;6,24;1,37;0,00;1,14;10,65;9,21;0,53;0,00;10,80
2017;Recept/1000 invånare;Kalmar län;Båda könen;5­9;251,28;14,02;7,99;147,87;3,24;2,49;0,00;0,98;5,43;10,17;0,53;0,00;11,38
2017;Recept/1000 invånare;Kalmar län;Båda könen;10­14;138,72;5,68;7,78;67,38;2,65;1,48;0,00;1,01;0,86;7,62;1,48;0,00;3,66
2017;Recept/1000 invånare;Kalmar län;Båda könen;15­19;257,64;3,99;31,87;80,03;1,96;2,51;0,00;0,16;0,70;13,23;6,66;0,00;19,11
2017;Recept/1000 invånare;Kalmar län;Båda könen;20­24;205,36;4,84;31,36;63,79;3,03;3,84;0,00;0,00;0,81;8,28;8,14;0,00;19,24
2017;Recept/1000 invånare;Kalmar län;Båda könen;25­29;216,76;4,45;32,93;73,36;3,25;5,91;0,00;0,20;2,39;6,71;8,17;0,07;17,59
2017;Recept/1000 invånare;Kalmar län;Båda könen;30­34;222,84;5,44;30,00;83,55;3,96;5,29;0,00;0,00;1,17;4,74;8,86;0,00;16,87
2017;Recept/1000 invånare;Kalmar län;Båda könen;35­39;230,85;6,79;28,60;84,27;3,43;5,03;0,00;0,88;1,20;5,11;10,54;0,00;18,29
2017;Recept/1000 invånare;Kalmar län;Båda könen;40­44;212,85;8,03;21,51;72,84;4,95;2,22;0,00;0,00;1,15;3,51;14,34;0,00;13,84
2017;Recept/1000 invånare;Kalmar län;Båda könen;45­49;221,31;8,16;26,29;66,55;3,39;2,74;0,00;0,07;1,11;3,46;14,68;0,00;19,31
2017;Recept/1000 invånare;Kalmar län;Båda könen;50­54;255,91;13,10;30,13;71,89;4,84;3,61;0,00;0,12;1,90;4,90;20,21;0,12;20,51
2017;Recept/1000 invånare;Kalmar län;Båda könen;55­59;284,53;15,18;35,52;81,73;6,58;4,50;0,00;0,20;2,35;3,83;21,36;0,07;24,78
2017;Recept/1000 invånare;Kalmar län;Båda könen;60­64;339,61;18,84;35,64;95,17;6,20;5,30;0,00;0,00;5,68;6,58;23,95;0,13;31,75
2017;Recept/1000 invånare;Kalmar län;Båda könen;65­69;355,07;19,19;47,46;88,06;5,83;4,87;0,00;0,12;6,20;5,59;33,20;0,18;33,08
2017;Recept/1000 invånare;Kalmar län;Båda könen;70­74;459,39;29,57;67,88;95,31;9,00;8,68;0,00;0,25;9,19;6,42;43,28;0,31;49,39
2017;Recept/1000 invånare;Kalmar län;Båda könen;75­79;532,03;38,13;94,90;90,10;9,88;13,66;0,00;0,00;10,89;4,06;54,19;0,00;56,68
2017;Recept/1000 invånare;Kalmar län;Båda könen;80­84;573,69;36,13;111,91;92,28;10,73;13,74;0,00;0,39;14,66;3,66;54,45;0,00;71,73
2017;Recept/1000 invånare;Kalmar län;Båda könen;85+;746,00;36,62;164,77;101,52;8,45;15,23;0,00;0,26;37,38;1,79;64,52;0,00;116,25
2017;Recept/1000 invånare;Kalmar län;Båda könen;0­85+;303,56;15,59;39,78;89,43;5,21;5,17;0,00;0,31;5,24;6,17;19,82;0,06;27,55
2017;Recept/1000 invånare;Gotlands län;Båda könen;0­4;296,38;50,46;0,00;174,48;15,28;1,07;0,00;0,36;6,40;11,73;0,00;0,00;3,55
2017;Recept/1000 invånare;Gotlands län;Båda könen;5­9;291,84;28,38;5,80;184,13;9,67;1,93;0,00;0,00;3,87;6,77;2,90;0,00;6,13
2017;Recept/1000 invånare;Gotlands län;Båda könen;10­14;170,05;7,11;5,76;91,46;2,71;3,05;0,00;0,34;0,68;10,16;1,02;0,00;2,71
2017;Recept/1000 invånare;Gotlands län;Båda könen;15­19;276,68;8,55;25,31;95,76;4,79;4,79;0,00;0,00;1,71;7,87;8,89;0,00;17,44
2017;Recept/1000 invånare;Gotlands län;Båda könen;20­24;263,87;10,01;31,45;73,18;2,00;3,72;0,00;2,00;10,01;4,57;14,01;0,00;21,15
2017;Recept/1000 invånare;Gotlands län;Båda könen;25­29;253,82;13,24;31,47;82,06;2,06;4,41;0,00;0,00;2,06;6,18;12,65;0,00;22,35
2017;Recept/1000 invånare;Gotlands län;Båda könen;30­34;264,19;15,65;33,84;89,16;8,01;5,82;0,00;0,36;2,91;5,46;17,10;0,00;14,56
2017;Recept/1000 invånare;Gotlands län;Båda könen;35­39;265,49;12,93;28,25;80,33;3,06;5,45;0,00;0,00;4,42;6,47;14,30;0,00;18,04
2017;Recept/1000 invånare;Gotlands län;Båda könen;40­44;248,77;11,85;25,72;80,32;5,78;4,05;0,00;0,00;3,76;5,78;9,25;0,00;11,56
2017;Recept/1000 invånare;Gotlands län;Båda könen;45­49;259,01;13,00;25,74;71,25;6,77;2,98;0,00;0,00;1,63;7,04;16,26;0,00;21,67
2017;Recept/1000 invånare;Gotlands län;Båda könen;50­54;256,94;11,20;27,52;65,03;5,60;1,46;0,00;0,00;3,41;8,52;15,59;0,00;18,27
2017;Recept/1000 invånare;Gotlands län;Båda könen;55­59;341,01;20,74;38,66;82,44;4,35;3,58;0,00;0,00;6,14;12,29;26,88;0,26;22,02
2017;Recept/1000 invånare;Gotlands län;Båda könen;60­64;385,28;29,19;47,53;83,23;7,72;3,14;0,00;0,00;10,62;6,76;30,16;0,48;29,67
